name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,geom,topo,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime
122,eGon2035,1,49169,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8091049103777654,,0.0,31.0
123,eGon2035,1,49170,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8082167535220475,,0.0,31.0
124,eGon2035,1,49171,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8107982497477764,,0.0,31.0
125,eGon2035,1,49172,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8070515213994653,,0.0,31.0
126,eGon2035,1,49173,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.99993255921563,,0.0,31.0
127,eGon2035,1,49175,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8091966872571839,,0.0,31.0
128,eGon2035,1,49176,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,1997.5504357649936,,0.0,31.0
129,eGon2035,1,49177,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8098702879242505,,0.0,31.0
130,eGon2035,1,49178,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9999280820641291,,0.0,31.0
131,eGon2035,1,49180,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8012843493109886,,0.0,31.0
132,eGon2035,1,49181,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8042613690346893,,0.0,31.0
133,eGon2035,1,49182,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8036527939681735,,0.0,31.0
134,eGon2035,1,49183,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9945343181700245,,0.0,31.0
135,eGon2035,1,49184,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8097755566013527,,0.0,31.0
136,eGon2035,1,49185,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.812526730280703,,0.0,31.0
137,eGon2035,1,49186,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9996777758481621,,0.0,31.0
138,eGon2035,1,49188,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.7716593208351008,,0.0,31.0
139,eGon2035,1,49189,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9998388435381025,,0.0,31.0
140,eGon2035,1,49192,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9996062292829181,,0.0,31.0
141,eGon2035,1,49193,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.901044855541752,,0.0,31.0
142,eGon2035,1,49194,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8065976707266403,,0.0,31.0
143,eGon2035,1,49195,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8080405433206883,,0.0,31.0
144,eGon2035,1,49196,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9994405050675266,,0.0,31.0
145,eGon2035,1,49197,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9996787826562112,,0.0,31.0
146,eGon2035,1,49258,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9995678770843649,,0.0,31.0
147,eGon2035,1,49259,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8012746276284577,,0.0,31.0
148,eGon2035,1,49262,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9998927966159,,0.0,31.0
149,eGon2035,1,49375,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,1997.6258815565561,,0.0,31.0
150,eGon2035,1,49388,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8021212578555309,,0.0,31.0
151,eGon2035,1,49395,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,2001.2238270462813,,0.0,31.0
152,eGon2035,1,49403,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,1997.5894012151307,,0.0,31.0
153,eGon2035,1,49409,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,2003.826459454951,,0.0,31.0
154,eGon2035,1,49410,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,1997.4242370354987,,0.0,31.0
155,eGon2035,1,49415,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,2003.510993001336,,0.0,31.0
156,eGon2035,1,49422,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8039195489169991,,0.0,31.0
157,eGon2035,1,49428,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,2011.5585685972023,,0.0,31.0
158,eGon2035,1,49433,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.8084647356806443,,0.0,31.0
159,eGon2035,1,49439,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,0.9998991686906501,,0.0,31.0
160,eGon2035,1,50808,central_heat_pump,0.848655289165275,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.848655289165275,,0.0,inf
161,eGon2035,1,50808,central_resistive_heater,1.1016747782832632,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,1.1016747782832632,,0.0,inf
162,eGon2035,1,50920,central_heat_pump,23.705993401170737,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,23.705993401170737,,0.0,
163,eGon2035,1,50920,central_resistive_heater,30.21762503438787,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,30.21762503438787,,0.0,
164,eGon2035,1,52059,rural_heat_pump,1797.7125258698366,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,1797.7125258698366,,0.0,
165,eGon2035,1,69914,BEV_charger,3103.5753304958344,False,inf,0.0,0.0,,,,0.9,0.0,0.0,0.0,3103.5753304958344,,0.0,
166,eGon2035,1,77535,central_heat_pump,72.39099887865159,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,72.39099887865159,,0.0,
167,eGon2035,1,77535,central_resistive_heater,67.49623036056677,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,67.49623036056677,,0.0,
168,eGon2035,10,43546,dsm,427.6265162856045,False,inf,0.0,0.0,,,,1.0,0.0,0.0,0.0,427.6265162856045,,0.0,
169,eGon2035,10,48653,power_to_H2,0.0,True,inf,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,6.541003813739562e-07,,0.0,31.0
170,eGon2035,10,48956,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,2.4096132308557035e-05,,0.0,31.0
171,eGon2035,10,48960,power_to_H2,0.0,True,1.0,27.45381865133243,0.0,,,,0.7,0.0,0.0,0.0,2.5595103949623792e-05,,0.0,31.0
