name,p_set,carrier,bus
48979 H2_hgv_load,0.0,H2_hgv_load,48979
48980 H2_for_industry,0.0,H2_for_industry,48980
48980 H2_hgv_load,0.0,H2_hgv_load,48980
48986 H2_for_industry,0.0,H2_for_industry,48986
48986 H2_hgv_load,0.0,H2_hgv_load,48986
48987 H2_for_industry,0.0,H2_for_industry,48987
48987 H2_hgv_load,0.0,H2_hgv_load,48987
48991 H2_for_industry,0.0,H2_for_industry,48991
48991 H2_hgv_load,0.0,H2_hgv_load,48991
48993 H2_for_industry,0.0,H2_for_industry,48993
48993 H2_hgv_load,0.0,H2_hgv_load,48993
48994 H2_for_industry,0.0,H2_for_industry,48994
48994 H2_hgv_load,0.0,H2_hgv_load,48994
48997 H2_for_industry,0.0,H2_for_industry,48997
48997 H2_hgv_load,0.0,H2_hgv_load,48997
48998 H2_for_industry,0.0,H2_for_industry,48998
48998 H2_hgv_load,0.0,H2_hgv_load,48998
48999 H2_for_industry,0.0,H2_for_industry,48999
48999 H2_hgv_load,0.0,H2_hgv_load,48999
49000 H2_for_industry,0.0,H2_for_industry,49000
49000 H2_hgv_load,0.0,H2_hgv_load,49000
49002 H2_for_industry,0.0,H2_for_industry,49002
49002 H2_hgv_load,0.0,H2_hgv_load,49002
49003 H2_for_industry,0.0,H2_for_industry,49003
49003 H2_hgv_load,0.0,H2_hgv_load,49003
49004 H2_for_industry,0.0,H2_for_industry,49004
49004 H2_hgv_load,0.0,H2_hgv_load,49004
49006 H2_for_industry,0.0,H2_for_industry,49006
49006 H2_hgv_load,0.0,H2_hgv_load,49006
49007 H2_for_industry,0.0,H2_for_industry,49007
49007 H2_hgv_load,0.0,H2_hgv_load,49007
49008 H2_for_industry,0.0,H2_for_industry,49008
49008 H2_hgv_load,0.0,H2_hgv_load,49008
49009 H2_hgv_load,0.0,H2_hgv_load,49009
49010 H2_hgv_load,0.0,H2_hgv_load,49010
49011 H2_for_industry,0.0,H2_for_industry,49011
49011 H2_hgv_load,0.0,H2_hgv_load,49011
49012 H2_for_industry,0.0,H2_for_industry,49012
49012 H2_hgv_load,0.0,H2_hgv_load,49012
49013 H2_for_industry,0.0,H2_for_industry,49013
49013 H2_hgv_load,0.0,H2_hgv_load,49013
49014 H2_for_industry,0.0,H2_for_industry,49014
49014 H2_hgv_load,0.0,H2_hgv_load,49014
49015 H2_for_industry,0.0,H2_for_industry,49015
49015 H2_hgv_load,0.0,H2_hgv_load,49015
49017 H2_for_industry,0.0,H2_for_industry,49017
49017 H2_hgv_load,0.0,H2_hgv_load,49017
49019 H2_for_industry,0.0,H2_for_industry,49019
49019 H2_hgv_load,0.0,H2_hgv_load,49019
49020 H2_for_industry,0.0,H2_for_industry,49020
49020 H2_hgv_load,0.0,H2_hgv_load,49020
49021 H2_for_industry,0.0,H2_for_industry,49021
49021 H2_hgv_load,0.0,H2_hgv_load,49021
49022 H2_for_industry,0.0,H2_for_industry,49022
49022 H2_hgv_load,0.0,H2_hgv_load,49022
49023 H2_for_industry,0.0,H2_for_industry,49023
49023 H2_hgv_load,0.0,H2_hgv_load,49023
49024 H2_for_industry,0.0,H2_for_industry,49024
49024 H2_hgv_load,0.0,H2_hgv_load,49024
49028 H2_for_industry,0.0,H2_for_industry,49028
49028 H2_hgv_load,0.0,H2_hgv_load,49028
49029 H2_for_industry,0.0,H2_for_industry,49029
49029 H2_hgv_load,0.0,H2_hgv_load,49029
49032 H2_for_industry,0.0,H2_for_industry,49032
49032 H2_hgv_load,0.0,H2_hgv_load,49032
49035 H2_for_industry,0.0,H2_for_industry,49035
49035 H2_hgv_load,0.0,H2_hgv_load,49035
49036 H2_for_industry,0.0,H2_for_industry,49036
49036 H2_hgv_load,0.0,H2_hgv_load,49036
49037 H2_for_industry,0.0,H2_for_industry,49037
49037 H2_hgv_load,0.0,H2_hgv_load,49037
49038 H2_for_industry,0.0,H2_for_industry,49038
49038 H2_hgv_load,0.0,H2_hgv_load,49038
49039 H2_for_industry,0.0,H2_for_industry,49039
49039 H2_hgv_load,0.0,H2_hgv_load,49039
49040 H2_for_industry,0.0,H2_for_industry,49040
49040 H2_hgv_load,0.0,H2_hgv_load,49040
49041 H2_for_industry,0.0,H2_for_industry,49041
49041 H2_hgv_load,0.0,H2_hgv_load,49041
49042 H2_for_industry,0.0,H2_for_industry,49042
49042 H2_hgv_load,0.0,H2_hgv_load,49042
49043 H2_for_industry,0.0,H2_for_industry,49043
49043 H2_hgv_load,0.0,H2_hgv_load,49043
49047 H2_for_industry,0.0,H2_for_industry,49047
49047 H2_hgv_load,0.0,H2_hgv_load,49047
49048 H2_for_industry,0.0,H2_for_industry,49048
49048 H2_hgv_load,0.0,H2_hgv_load,49048
49049 H2_for_industry,0.0,H2_for_industry,49049
49049 H2_hgv_load,0.0,H2_hgv_load,49049
49050 H2_for_industry,0.0,H2_for_industry,49050
49050 H2_hgv_load,0.0,H2_hgv_load,49050
49051 H2_for_industry,0.0,H2_for_industry,49051
49051 H2_hgv_load,0.0,H2_hgv_load,49051
49052 H2_for_industry,0.0,H2_for_industry,49052
49052 H2_hgv_load,0.0,H2_hgv_load,49052
49053 H2_for_industry,0.0,H2_for_industry,49053
49053 H2_hgv_load,0.0,H2_hgv_load,49053
49056 H2_for_industry,0.0,H2_for_industry,49056
49056 H2_hgv_load,0.0,H2_hgv_load,49056
49057 H2_for_industry,0.0,H2_for_industry,49057
49057 H2_hgv_load,0.0,H2_hgv_load,49057
49061 H2_for_industry,0.0,H2_for_industry,49061
49061 H2_hgv_load,0.0,H2_hgv_load,49061
49066 H2_for_industry,0.0,H2_for_industry,49066
49066 H2_hgv_load,0.0,H2_hgv_load,49066
49067 H2_for_industry,0.0,H2_for_industry,49067
49067 H2_hgv_load,0.0,H2_hgv_load,49067
49070 H2_for_industry,0.0,H2_for_industry,49070
49070 H2_hgv_load,0.0,H2_hgv_load,49070
49074 H2_for_industry,0.0,H2_for_industry,49074
49074 H2_hgv_load,0.0,H2_hgv_load,49074
49075 H2_for_industry,0.0,H2_for_industry,49075
49075 H2_hgv_load,0.0,H2_hgv_load,49075
49079 H2_for_industry,0.0,H2_for_industry,49079
49079 H2_hgv_load,0.0,H2_hgv_load,49079
49080 H2_for_industry,0.0,H2_for_industry,49080
49080 H2_hgv_load,0.0,H2_hgv_load,49080
49083 H2_for_industry,0.0,H2_for_industry,49083
49083 H2_hgv_load,0.0,H2_hgv_load,49083
49086 H2_for_industry,0.0,H2_for_industry,49086
49086 H2_hgv_load,0.0,H2_hgv_load,49086
49087 H2_for_industry,0.0,H2_for_industry,49087
49087 H2_hgv_load,0.0,H2_hgv_load,49087
49088 H2_for_industry,0.0,H2_for_industry,49088
49088 H2_hgv_load,0.0,H2_hgv_load,49088
49089 H2_for_industry,0.0,H2_for_industry,49089
49089 H2_hgv_load,0.0,H2_hgv_load,49089
49090 H2_for_industry,0.0,H2_for_industry,49090
49090 H2_hgv_load,0.0,H2_hgv_load,49090
49091 H2_for_industry,0.0,H2_for_industry,49091
49091 H2_hgv_load,0.0,H2_hgv_load,49091
49092 H2_for_industry,0.0,H2_for_industry,49092
49092 H2_hgv_load,0.0,H2_hgv_load,49092
49100 H2_for_industry,0.0,H2_for_industry,49100
49100 H2_hgv_load,0.0,H2_hgv_load,49100
49104 H2_for_industry,0.0,H2_for_industry,49104
49104 H2_hgv_load,0.0,H2_hgv_load,49104
49106 H2_for_industry,0.0,H2_for_industry,49106
49106 H2_hgv_load,0.0,H2_hgv_load,49106
49109 H2_for_industry,0.0,H2_for_industry,49109
49109 H2_hgv_load,0.0,H2_hgv_load,49109
49110 H2_for_industry,0.0,H2_for_industry,49110
49110 H2_hgv_load,0.0,H2_hgv_load,49110
49111 H2_for_industry,0.0,H2_for_industry,49111
49111 H2_hgv_load,0.0,H2_hgv_load,49111
49113 H2_for_industry,0.0,H2_for_industry,49113
49113 H2_hgv_load,0.0,H2_hgv_load,49113
49114 H2_for_industry,0.0,H2_for_industry,49114
49114 H2_hgv_load,0.0,H2_hgv_load,49114
49116 H2_for_industry,0.0,H2_for_industry,49116
49116 H2_hgv_load,0.0,H2_hgv_load,49116
49120 H2_for_industry,0.0,H2_for_industry,49120
49120 H2_hgv_load,0.0,H2_hgv_load,49120
49124 H2_for_industry,0.0,H2_for_industry,49124
49124 H2_hgv_load,0.0,H2_hgv_load,49124
49125 H2_for_industry,0.0,H2_for_industry,49125
49125 H2_hgv_load,0.0,H2_hgv_load,49125
49126 H2_for_industry,0.0,H2_for_industry,49126
49126 H2_hgv_load,0.0,H2_hgv_load,49126
49131 H2_for_industry,0.0,H2_for_industry,49131
49131 H2_hgv_load,0.0,H2_hgv_load,49131
49133 H2_for_industry,0.0,H2_for_industry,49133
49133 H2_hgv_load,0.0,H2_hgv_load,49133
49136 H2_for_industry,0.0,H2_for_industry,49136
49136 H2_hgv_load,0.0,H2_hgv_load,49136
49137 H2_for_industry,0.0,H2_for_industry,49137
49137 H2_hgv_load,0.0,H2_hgv_load,49137
49138 H2_for_industry,0.0,H2_for_industry,49138
49138 H2_hgv_load,0.0,H2_hgv_load,49138
49139 H2_for_industry,0.0,H2_for_industry,49139
49139 H2_hgv_load,0.0,H2_hgv_load,49139
49143 H2_for_industry,0.0,H2_for_industry,49143
49143 H2_hgv_load,0.0,H2_hgv_load,49143
49144 H2_for_industry,0.0,H2_for_industry,49144
49144 H2_hgv_load,0.0,H2_hgv_load,49144
49148 H2_for_industry,0.0,H2_for_industry,49148
49148 H2_hgv_load,0.0,H2_hgv_load,49148
49151 H2_for_industry,0.0,H2_for_industry,49151
49151 H2_hgv_load,0.0,H2_hgv_load,49151
49155 H2_for_industry,0.0,H2_for_industry,49155
49155 H2_hgv_load,0.0,H2_hgv_load,49155
49160 H2_for_industry,0.0,H2_for_industry,49160
49160 H2_hgv_load,0.0,H2_hgv_load,49160
49165 H2_for_industry,0.0,H2_for_industry,49165
49165 H2_hgv_load,0.0,H2_hgv_load,49165
49173 H2_for_industry,0.0,H2_for_industry,49173
49173 H2_hgv_load,0.0,H2_hgv_load,49173
49174 H2_for_industry,0.0,H2_for_industry,49174
49174 H2_hgv_load,0.0,H2_hgv_load,49174
49178 H2_for_industry,0.0,H2_for_industry,49178
49178 H2_hgv_load,0.0,H2_hgv_load,49178
49183 H2_for_industry,0.0,H2_for_industry,49183
49183 H2_hgv_load,0.0,H2_hgv_load,49183
49186 H2_for_industry,0.0,H2_for_industry,49186
49186 H2_hgv_load,0.0,H2_hgv_load,49186
49188 H2_for_industry,0.0,H2_for_industry,49188
49188 H2_hgv_load,0.0,H2_hgv_load,49188
49189 H2_for_industry,0.0,H2_for_industry,49189
49189 H2_hgv_load,0.0,H2_hgv_load,49189
49190 H2_for_industry,0.0,H2_for_industry,49190
49190 H2_hgv_load,0.0,H2_hgv_load,49190
49191 H2_for_industry,0.0,H2_for_industry,49191
49191 H2_hgv_load,0.0,H2_hgv_load,49191
49192 H2_for_industry,0.0,H2_for_industry,49192
49192 H2_hgv_load,0.0,H2_hgv_load,49192
49196 H2_for_industry,0.0,H2_for_industry,49196
49196 H2_hgv_load,0.0,H2_hgv_load,49196
49197 H2_for_industry,0.0,H2_for_industry,49197
