name,scn_name,bus0,bus1,carrier,p_nom,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
74,eGon2035_lowflex,48639,48642,CH4,16785.0,inf,0.0,281.7514401453481,1.0,0.0,-1.0,1.0,0.0,16785.0,ATCZ,inf,False,,,0.0,,,1.0,1.0
75,eGon2035_lowflex,48639,52087,CH4,38766.66666666662,inf,0.0,453.50948538236383,1.0,0.0,-1.0,1.0,0.0,38766.66666666662,AT,inf,False,,,0.0,,,1.0,1.0
76,eGon2035_lowflex,48640,1,OCGT,20680.000029833333,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,20680.000029833333,BEBE,inf,True,,,9.6,0.0,1.0,0.2,0.2
77,eGon2035_lowflex,48640,48644,CH4,42708.3333333333,inf,0.0,453.73185086841903,1.0,0.0,-1.0,1.0,0.0,42708.3333333333,BEFR,inf,False,,,0.0,,,1.0,1.0
78,eGon2035_lowflex,48640,48645,CH4,60629.1666666667,inf,0.0,852.7217996254446,1.0,0.0,-1.0,1.0,0.0,60629.1666666667,BEGB,inf,False,,,0.0,,,1.0,1.0
79,eGon2035_lowflex,48640,48646,CH4,2033.33333333333,inf,0.0,151.7476169130087,1.0,0.0,-1.0,1.0,0.0,2033.33333333333,BELU,inf,False,,,0.0,,,1.0,1.0
80,eGon2035_lowflex,48640,48647,CH4,71159.6578333333,inf,0.0,188.68558083512778,1.0,0.0,-1.0,1.0,0.0,71159.6578333333,BENL,inf,False,,,0.0,,,1.0,1.0
81,eGon2035_lowflex,48640,48648,CH4,20333.3333333333,inf,0.0,1162.1924417440246,1.0,0.0,-1.0,1.0,0.0,20333.3333333333,BENO,inf,False,,,0.0,,,1.0,1.0
82,eGon2035_lowflex,48640,52087,CH4,30337.5,inf,0.0,352.3741382482666,1.0,0.0,-1.0,1.0,0.0,30337.5,BE,inf,False,,,0.0,,,1.0,1.0
83,eGon2035_lowflex,48641,2,OCGT,585.7142947619047,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,585.7142947619047,CHCH,inf,True,,,9.6,0.0,1.0,0.2,0.2
84,eGon2035_lowflex,48641,48644,CH4,20115.3704583333,inf,0.0,384.404341111123,1.0,0.0,-1.0,1.0,0.0,20115.3704583333,CHFR,inf,False,,,0.0,,,1.0,1.0
85,eGon2035_lowflex,48641,52087,CH4,22904.70758333334,inf,0.0,456.1337296983215,1.0,0.0,-1.0,1.0,0.0,22904.70758333334,CH,inf,False,,,0.0,,,1.0,1.0
86,eGon2035_lowflex,48642,3,OCGT,3213.5714304047615,inf,0.0,0.0,0.42,0.0,0.2,1.0,10.714285714285715,3213.5714304047615,CZCZ,inf,True,,,9.6,0.0,1.0,0.2,0.2
87,eGon2035_lowflex,48642,48649,CH4,16679.1666666667,inf,0.0,321.7396762680511,1.0,0.0,-1.0,1.0,0.0,16679.1666666667,CZPL,inf,False,,,0.0,,,1.0,1.0
