name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
54,eGon2035_lowflex,4,52102,central_heat_pump,37.48215166254799,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,37.48215166254799,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
55,eGon2035_lowflex,4,52102,central_resistive_heater,20.393690220271992,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,20.393690220271992,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
56,eGon2035_lowflex,4,52105,central_heat_pump,63.62331802825719,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,63.62331802825719,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
57,eGon2035_lowflex,4,52105,central_resistive_heater,84.28672760004186,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,84.28672760004186,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
58,eGon2035_lowflex,4,52107,central_heat_pump,5.547228433360994,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,5.547228433360994,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
59,eGon2035_lowflex,4,52107,central_resistive_heater,7.075377310722223,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,7.075377310722223,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
60,eGon2035_lowflex,43776,43783,DC,0.0,True,0.0,872.9158267121838,542.4840827461112,,1.0,0.0,-1.0,0.010608893260563735,0.0,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
61,eGon2035_lowflex,43779,43780,DC,600.0,True,2400.0,406.3432734770231,168.37927618101847,,1.0,600.0,-1.0,0.00910228999189938,2105.2240761645207,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
62,eGon2035_lowflex,43779,43783,DC,0.0,True,0.0,2480.175497842263,810.1641263072428,,1.0,0.0,-1.0,0.010383478690140533,0.0,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
63,eGon2035_lowflex,43779,43785,DC,0.0,True,0.0,1174.3875148306297,485.2908958318637,,1.0,0.0,-1.0,0.010988884892469955,0.0,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
64,eGon2035_lowflex,43779,43786,DC,940.0,True,3760.0,1104.2204996209666,558.5259724769619,,1.0,940.0,-1.0,0.009122941939948524,940.3748184556795,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
65,eGon2035_lowflex,43779,43788,DC,850.0,True,3400.0,951.79447464285,705.9106058086279,,1.0,850.0,-1.0,0.010534828551279539,850.1189839294289,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
66,eGon2035_lowflex,43781,43783,DC,2000.0,True,8000.0,1107.5269492156938,807.1998278940348,,1.0,2000.0,-1.0,0.010065272946990302,7999.989681028615,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
67,eGon2035_lowflex,43782,43783,DC,500.0,True,inf,548.4588472669811,310.4723882783535,,1.0,500.0,-1.0,0.010246461947654868,1647.9664682615594,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
68,eGon2035_lowflex,43783,43785,DC,1000.0,True,4000.0,1126.42478909851,515.4257544954448,,1.0,1000.0,-1.0,0.01051664063156824,3999.991508957812,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
69,eGon2035_lowflex,43783,43786,DC,0.0,True,0.0,2227.490255722004,1065.0735400123956,,1.0,0.0,-1.0,0.009320031688580132,0.0,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
70,eGon2035_lowflex,43785,43786,DC,700.0,True,2800.0,2202.894345654306,974.5374824832013,,1.0,700.0,-1.0,0.00917766700484962,2699.1869996292066,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
71,eGon2035_lowflex,43787,43788,DC,600.0,True,2400.0,1427.396418316621,1030.389406833859,,1.0,600.0,-1.0,0.01026030450633768,604.0503798258504,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
72,eGon2035_lowflex,48639,43775,OCGT,5998.4523758690475,False,inf,0.0,0.0,,0.42,0.0,0.0,10.714285714285715,5998.4523758690475,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
73,eGon2035_lowflex,48639,48641,CH4,27125.0,False,inf,0.0,415.62221327154276,,1.0,0.0,-1.0,0.0,27125.0,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
74,eGon2035_lowflex,48639,48642,CH4,16785.0,False,inf,0.0,281.7514401453481,,1.0,0.0,-1.0,0.0,16785.0,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
75,eGon2035_lowflex,48639,52087,CH4,38766.66666666662,False,inf,0.0,148.01958530257164,,1.0,0.0,-1.0,0.0,38766.66666666662,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
76,eGon2035_lowflex,48640,43776,OCGT,20680.000029833333,False,inf,0.0,0.0,,0.42,0.0,0.0,10.714285714285715,20680.000029833333,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
77,eGon2035_lowflex,48640,48644,CH4,42708.3333333333,False,inf,0.0,453.73185086841903,,1.0,0.0,-1.0,0.0,42708.3333333333,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
78,eGon2035_lowflex,48640,48645,CH4,60629.1666666667,False,inf,0.0,852.7217996254446,,1.0,0.0,-1.0,0.0,60629.1666666667,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
79,eGon2035_lowflex,48640,48646,CH4,2033.33333333333,False,inf,0.0,151.7476169130087,,1.0,0.0,-1.0,0.0,2033.33333333333,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
80,eGon2035_lowflex,48640,48647,CH4,71159.6578333333,False,inf,0.0,188.68558083512778,,1.0,0.0,-1.0,0.0,71159.6578333333,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
81,eGon2035_lowflex,48640,48648,CH4,20333.3333333333,False,inf,0.0,1162.1924417440246,,1.0,0.0,-1.0,0.0,20333.3333333333,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
82,eGon2035_lowflex,48640,52087,CH4,30337.5,False,inf,0.0,99.12164782399903,,1.0,0.0,-1.0,0.0,30337.5,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
