name,p_nom_max,weight,p_nom,efficiency,p_nom_opt,marginal_cost,e_nom_max,p_max_pu,up_time_before,carrier,bus,control
12 wind_onshore,inf,6842.6069763556825,6842.6069763556825,1.0,6842.6069763556825,1.3068347143110366,inf,1.0,0,wind_onshore,12,PV
1204 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.007706522501,0.0,1.0,1,load shedding,1204,PQ
12637 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.003893793448,0.0,1.0,1,load shedding,12637,PQ
12650 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.002192172382,0.0,1.0,1,load shedding,12650,PQ
12651 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.00285261124,0.0,1.0,1,load shedding,12651,PQ
12697 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.004983509012,0.0,1.0,1,load shedding,12697,PQ
13 biomass,inf,10.138100831697678,10.138100831697678,1.0,10.138100831697678,42.106784208292574,inf,1.0,0,biomass,13,PV
13 central_biomass_CHP,inf,26.33521291773251,26.33521291773251,1.0,26.33521291773251,42.107569266617965,inf,1.0,0,central_biomass_CHP,13,PV
13 central_gas_CHP,inf,1643.1612518947682,1643.1612518947682,0.42999999999999994,1643.1612518947682,4.125285904571619,0.0,1.0,1,central_gas_CHP,13,PQ
13 industrial_biomass_CHP,inf,84.77153765334742,84.77153765334742,1.0,84.77153765334742,42.1091890381528,inf,1.0,0,industrial_biomass_CHP,13,PV
13 industrial_gas_CHP,inf,766.2261422446951,766.2261422446951,0.43,766.2261422446951,4.15,0.0,1.0,1,industrial_gas_CHP,13,PQ
13 load shedding,inf,42890055.83261269,42890055.83261269,1.0,42890055.83261269,10000.008285910311,0.0,1.0,1,load shedding,13,PQ
13 others,inf,100.00000000000001,100.00000000000001,1.0,100.00000000000001,0.012838048545908714,inf,1.0,0,others,13,PV
13 run_of_river,inf,222.2490720923283,222.2490720923283,1.0,222.2490720923283,0.007848492047247567,inf,0.65,0,run_of_river,13,PV
13 solar,inf,1532.424535062814,1532.424535062814,1.0,1532.424535062814,0.017240759474793015,inf,1.0,0,solar,13,PV
13 solar_rooftop,inf,2704.7011748845657,2704.7011748845657,1.0,2704.7011748845657,0.017399686737723213,inf,1.0,0,solar_rooftop,13,PV
13 wind_onshore,inf,2843.101834549943,2843.101834549943,1.0,2843.101834549943,1.308832181962149,inf,1.0,0,wind_onshore,13,PV
13249 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.002482190475,0.0,1.0,1,load shedding,13249,PQ
13415 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.002495689097,0.0,1.0,1,load shedding,13415,PQ
13416 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.01286282923,0.0,1.0,1,load shedding,13416,PQ
13417 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.009719757853,0.0,1.0,1,load shedding,13417,PQ
13569 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.013297429226,0.0,1.0,1,load shedding,13569,PQ
13817 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.002068581045,0.0,1.0,1,load shedding,13817,PQ
14 OCGT,inf,2233.3333333333335,2233.3333333333335,0.42,2233.3333333333335,10.714285714285715,0.0,1.0,1,OCGT,14,PQ
14 biomass,inf,92.92643181812059,92.92643181812059,1.0,92.92643181812059,42.10795937315877,inf,1.0,0,biomass,14,PV
14 central_biomass_CHP,inf,53.34521013685742,53.34521013685742,1.0,53.34521013685742,42.110354889693845,inf,1.0,0,central_biomass_CHP,14,PV
14 central_gas_CHP,inf,3500.9432607102412,3500.9432607102412,0.43,3500.9432607102412,4.1132389039531905,0.0,1.0,1,central_gas_CHP,14,PQ
14 industrial_biomass_CHP,inf,960.3237604123807,960.3237604123807,1.0,960.3237604123807,42.10826326635447,inf,1.0,0,industrial_biomass_CHP,14,PV
14 industrial_gas_CHP,inf,1143.1402453301932,1143.1402453301932,0.43,1143.1402453301932,4.15,0.0,1.0,1,industrial_gas_CHP,14,PQ
14 load shedding,inf,100626669.45343748,100626669.45343748,1.0,100626669.45343748,10000.007958388245,0.0,1.0,1,load shedding,14,PQ
14 others,inf,22.236970841666142,22.236970841666142,1.0,22.236970841666142,0.0030851716184816,inf,1.0,0,others,14,PV
14 reservoir,inf,2.5893032160638585,2.5893032160638585,1.0,2.5893032160638585,0.010124916790704461,inf,0.65,0,reservoir,14,PV
14 run_of_river,inf,843.6532986579999,843.6532986579999,1.0,843.6532986579999,0.007610931422296692,inf,0.65,0,run_of_river,14,PV
14 solar,inf,3461.9588332955186,3461.9588332955186,1.0,3461.9588332955186,0.018172554512863984,inf,1.0,0,solar,14,PV
14 solar_rooftop,inf,9328.75724075193,9328.75724075193,1.0,9328.75724075193,0.018089144835409125,inf,1.0,0,solar_rooftop,14,PV
14 wind_onshore,inf,2708.7940632382392,2708.7940632382392,1.0,2708.7940632382392,1.3088671175240918,inf,1.0,0,wind_onshore,14,PV
1420 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.005934873772,0.0,1.0,1,load shedding,1420,PQ
14657 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.003224598586,0.0,1.0,1,load shedding,14657,PQ
14660 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.008707529008,0.0,1.0,1,load shedding,14660,PQ
14760 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.00342556128,0.0,1.0,1,load shedding,14760,PQ
14761 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.000624623217,0.0,1.0,1,load shedding,14761,PQ
14780 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.01378955871,0.0,1.0,1,load shedding,14780,PQ
14860 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.007800011777,0.0,1.0,1,load shedding,14860,PQ
14863 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.008867172426,0.0,1.0,1,load shedding,14863,PQ
15 biomass,inf,24.70982990618811,24.70982990618811,1.0,24.70982990618811,42.109014199274554,inf,1.0,0,biomass,15,PV
15 central_biomass_CHP,inf,46.59031613219443,46.59031613219443,1.0,46.59031613219443,42.10898859836432,inf,1.0,0,central_biomass_CHP,15,PV
15 central_gas_CHP,inf,4233.911343967964,4233.911343967964,0.43000000000000005,4233.911343967964,4.095415378272522,0.0,1.0,1,central_gas_CHP,15,PQ
15 industrial_biomass_CHP,inf,543.5777933982664,543.5777933982664,1.0,543.5777933982664,42.108348733518596,inf,1.0,0,industrial_biomass_CHP,15,PV
15 industrial_gas_CHP,inf,1696.5450208605382,1696.5450208605382,0.43,1696.5450208605382,4.15,0.0,1.0,1,industrial_gas_CHP,15,PQ
15 load shedding,inf,47204440.14713586,47204440.14713586,1.0,47204440.14713586,10000.007512486407,0.0,1.0,1,load shedding,15,PQ
15 run_of_river,inf,21.076215229119192,21.076215229119192,1.0,21.076215229119192,0.007133751507866621,inf,0.65,0,run_of_river,15,PV
15 solar,inf,687.4233070278605,687.4233070278605,1.0,687.4233070278605,0.01791662340627009,inf,1.0,0,solar,15,PV
15 solar_rooftop,inf,2558.4215577268565,2558.4215577268565,1.0,2558.4215577268565,0.01865171954372575,inf,1.0,0,solar_rooftop,15,PV
15 wind_onshore,inf,7827.853896625594,7827.853896625594,1.0,7827.853896625594,1.3085743255609372,inf,1.0,0,wind_onshore,15,PV
15090 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.005144743454,0.0,1.0,1,load shedding,15090,PQ
15093 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.000664178508,0.0,1.0,1,load shedding,15093,PQ
15185 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.011444501328,0.0,1.0,1,load shedding,15185,PQ
15256 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.0123843244,0.0,1.0,1,load shedding,15256,PQ
15257 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.000819555493,0.0,1.0,1,load shedding,15257,PQ
15317 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.00415079063,0.0,1.0,1,load shedding,15317,PQ
15319 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.014759087415,0.0,1.0,1,load shedding,15319,PQ
15350 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.002386137952,0.0,1.0,1,load shedding,15350,PQ
15499 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.004760672105,0.0,1.0,1,load shedding,15499,PQ
15660 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.004363480133,0.0,1.0,1,load shedding,15660,PQ
15758 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.001931417366,0.0,1.0,1,load shedding,15758,PQ
15759 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.02785888942,0.0,1.0,1,load shedding,15759,PQ
15774 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.002297456622,0.0,1.0,1,load shedding,15774,PQ
15937 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.001055854638,0.0,1.0,1,load shedding,15937,PQ
16109 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.01453486237,0.0,1.0,1,load shedding,16109,PQ
16115 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.00265096464,0.0,1.0,1,load shedding,16115,PQ
16456 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.003961230144,0.0,1.0,1,load shedding,16456,PQ
16459 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.002451377948,0.0,1.0,1,load shedding,16459,PQ
16598 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.017750501815,0.0,1.0,1,load shedding,16598,PQ
16615 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.002750643376,0.0,1.0,1,load shedding,16615,PQ
16616 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.002612204964,0.0,1.0,1,load shedding,16616,PQ
16651 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.01645346147,0.0,1.0,1,load shedding,16651,PQ
16653 load shedding,inf,126893.65630950501,126893.65630950501,1.0,126893.65630950501,10000.008925778753,0.0,1.0,1,load shedding,16653,PQ
