name,efficiency_store,p_nom,efficiency_dispatch,p_nom_min,capital_cost,carrier,bus,control,p_nom_extendable,max_hours,lifetime,p_nom_opt
32725 battery,0.9797958971132712,0.0,0.9797958971132712,2.8231690991150495,73.93112615104819,battery,32725,PV,True,6.0,27.5,2.823169204953836
32726 battery,0.9797958971132712,0.0,0.9797958971132712,1.0662130583252951,73.93112615104819,battery,32726,PV,True,6.0,27.5,1.0662131747168613
32729 battery,0.9797958971132712,0.0,0.9797958971132712,5.027082236598553,73.93112615104819,battery,32729,PV,True,6.0,27.5,5.0270823484954406
32735 battery,0.9797958971132712,0.0,0.9797958971132712,4.635989717209751,73.93112615104819,battery,32735,PV,True,6.0,27.5,4.635989829619975
32745 battery,0.9797958971132712,0.0,0.9797958971132712,3.4493793394326127,73.93112615104819,battery,32745,PV,True,6.0,27.5,3.4493794495099186
32760 battery,0.9797958971132712,0.0,0.9797958971132712,4.211092919128928,73.93112615104819,battery,32760,PV,True,6.0,27.5,4.211093013355344
32761 battery,0.9797958971132712,0.0,0.9797958971132712,0.0,73.93112615104819,battery,32761,PV,True,6.0,27.5,8.77748299703023e-07
32763 battery,0.9797958971132712,0.0,0.9797958971132712,11.529184055343261,73.93112615104819,battery,32763,PV,True,6.0,27.5,11.529184156058891
32764 battery,0.9797958971132712,0.0,0.9797958971132712,0.0,73.93112615104819,battery,32764,PV,True,6.0,27.5,762.2076453611519
32810 battery,0.9797958971132712,0.0,0.9797958971132712,1.0187213750093709,73.93112615104819,battery,32810,PV,True,6.0,27.5,1.0187214914802758
32821 battery,0.9797958971132712,0.0,0.9797958971132712,5.47142939168232,73.93112615104819,battery,32821,PV,True,6.0,27.5,5.471429503053235
32862 battery,0.9797958971132712,0.0,0.9797958971132712,1.5620638363038672,73.93112615104819,battery,32862,PV,True,6.0,27.5,1.5620639378193275
32875 battery,0.9797958971132712,0.0,0.9797958971132712,1.3919008182609107,73.93112615104819,battery,32875,PV,True,6.0,27.5,1.391900925364139
32876 battery,0.9797958971132712,0.0,0.9797958971132712,0.35702791971925546,73.93112615104819,battery,32876,PV,True,6.0,27.5,0.3570280346656036
32877 battery,0.9797958971132712,0.0,0.9797958971132712,3.1514580386888627,73.93112615104819,battery,32877,PV,True,6.0,27.5,3.151458147045899
32878 battery,0.9797958971132712,0.0,0.9797958971132712,4.946565237435582,73.93112615104819,battery,32878,PV,True,6.0,27.5,4.9465653503611975
