line_key,s_nom_extendable,s_nom,p,loading_old,s_nom_opt,loading_new,dif
7918,True,26.0,25.1227239625,96.63,26.0,96.63,0.0
7919,True,26.0,24.7834716406,95.32,26.0,95.32,0.0
7921,False,26.0,20.372601371,78.36,26.0,78.36,0.0
7923,True,26.0,24.9805251326,96.08,26.0,91.26,0.0
7940,True,26.0,7.97152239256,30.66,26.0,30.66,0.0
7943,True,26.0,26.8379925211,103.22,26.0,92.88,0.0
7944,True,26.0,4.36726598778,16.8,26.0,16.8,0.0
7948,True,26.0,27.0496954394,104.04,26.0,67.2,0.0
7952,False,26.0,11.4445771263,44.02,26.0,43.68,0.0
7956,True,26.0,68.2337677261,262.44,68.2337677261,100.0,42.2337677261
7957,True,26.0,9.05968920419,34.84,26.0,34.04,0.0
7958,True,26.0,10.7061006939,41.18,26.0,40.23,0.0
7959,True,26.0,52.749713314,202.88,52.749713314,100.0,26.749713314
7960,True,26.0,69.0052965393,265.4,69.0052965393,100.0,43.0052965393
7961,False,26.0,17.2300731608,66.27,26.0,66.27,0.0
7962,True,26.0,34.2484299654,131.72,34.2484299654,100.0,8.2484299654
7963,False,26.0,17.1512824473,65.97,26.0,65.97,0.0
7964,True,26.0,41.1914023863,158.43,41.1914023863,100.0,15.1914023863
8050,True,26.0,7.87366624268,30.28,26.0,30.28,0.0
7965,True,26.0,31.0874086074,119.57,26.0,81.12,0.0
7966,True,26.0,31.2,120.0,26.0,80.4,0.0
7967,True,26.0,30.9748172147,119.13,26.0,80.83,0.0
7968,False,26.0,2.36481002086,9.1,26.0,9.1,0.0
7969,True,26.0,30.9795339838,119.15,26.0,79.84,0.0
7993,False,179.0,172.880798763,96.58,179.0,96.58,0.0
7996,True,26.0,31.2,120.0,26.2115874466,100.0,0.2115874466
8011,True,28.0,0.0,0.0,28.0,0.0,-3.5527136788e-15
8014,True,26.0,12.0089562741,46.19,26.0,36.46,0.0
8015,True,26.0,10.5480935048,40.57,26.0,32.02,0.0
8029,True,26.0,14.1315378634,54.35,26.0,39.06,0.0
8030,True,26.0,27.89191373,107.28,26.0,77.1,0.0
8042,True,26.0,28.2630757268,108.7,26.0,78.13,0.0
8043,True,26.0,7.90809325275,30.42,26.0,30.42,0.0
8053,True,26.0,8.04425096725,30.94,26.0,30.94,0.0
8070,True,26.0,35.9861585325,138.41,35.9861585325,100.0,9.9861585325
8128,True,179.0,0.0,0.0,179.0,0.0,0.0
8224,False,179.0,144.316757847,80.62,179.0,80.62,0.0
8225,False,179.0,145.455101907,81.26,179.0,81.26,0.0
8226,False,179.0,145.194443151,81.11,179.0,81.11,0.0
8274,True,179.0,96.3212525444,53.81,179.0,53.81,0.0
8275,True,179.0,95.967999712,53.61,179.0,53.61,0.0
8276,True,179.0,95.967999712,53.61,179.0,53.61,0.0
8277,True,179.0,94.214884147,52.63,179.0,52.63,0.0
8278,True,179.0,95.967999712,53.61,179.0,53.61,0.0
8339,False,179.0,172.784208457,96.53,179.0,96.53,0.0
8353,False,179.0,121.100699043,67.65,179.0,67.65,0.0
8360,False,358.0,14.2026449718,3.97,358.0,3.97,0.0
8361,False,358.0,7.02906251063,1.96,358.0,1.96,0.0
8362,False,358.0,7.10132248592,1.98,358.0,1.98,0.0
8664,False,52.0,7.05725889482,13.57,52.0,13.57,0.0
8633,False,52.0,7.0534196208,13.56,52.0,13.56,0.0
8634,False,52.0,7.05725889482,13.57,52.0,13.57,0.0
8659,False,52.0,7.05725889482,13.57,52.0,13.57,0.0
8660,False,52.0,7.05725889482,13.57,52.0,13.57,0.0
8661,False,52.0,3.93418568325,7.57,52.0,7.57,0.0
8662,False,52.0,7.05725889482,13.57,52.0,13.57,0.0
