line_key,s_nom_extendable,s_nom,p,loading_old,s_nom_opt,loading_new,dif
7925,True,26.0,26.6853021587,102.64,26.6853021587,100.0,0.6853021587
7910,True,358.0,20.2187694933,5.65,358.0,5.65,0.0
7916,True,26.0,23.0405295104,88.62,26.0,88.62,0.0
7917,True,26.0,17.8934589795,68.82,26.0,68.82,0.0
7918,True,26.0,14.9639750087,57.55,26.0,57.55,0.0
7919,True,26.0,14.761904434,56.78,26.0,56.78,0.0
7921,True,26.0,17.8999282063,68.85,26.0,68.85,0.0
7923,True,26.0,29.729561098,114.34,29.729561098,100.0,3.729561098
7940,True,26.0,7.97152239256,30.66,26.0,30.66,0.0
7943,True,26.0,26.5684411349,102.19,26.5684411349,100.0,0.5684411349
7944,True,26.0,4.72541549831,18.17,26.0,18.17,0.0
7948,True,26.0,28.1808427166,108.39,28.1808427166,100.0,2.1808427166
7952,True,26.0,11.3884168276,43.8,26.0,43.8,0.0
7956,True,26.0,60.9609050688,234.47,60.9609050688,100.0,34.9609050688
7957,True,26.0,8.88340125186,34.17,26.0,34.17,0.0
7958,True,26.0,10.4977760454,40.38,26.0,40.38,0.0
7959,True,26.0,47.559830508,182.92,47.559830508,100.0,21.559830508
7960,True,26.0,61.6501986005,237.12,61.6501986005,100.0,35.6501986005
7961,True,26.0,17.7106071616,68.12,26.0,68.12,0.0
7962,True,26.0,26.0,100.0,26.0,100.0,0.0
7963,True,26.0,17.6296190334,67.81,26.0,67.81,0.0
7964,True,26.0,45.7487142663,175.96,45.7487142663,100.0,19.7487142663
8050,True,26.0,12.0343988741,46.29,26.0,46.29,0.0
7965,True,26.0,22.3561396866,85.99,26.0,85.99,0.0
7966,True,26.0,21.7268112327,83.56,26.0,83.56,0.0
7967,True,26.0,22.2751709274,85.67,26.0,85.67,0.0
7968,True,26.0,1.0729553637,4.13,26.0,4.13,0.0
7969,True,26.0,21.573284838,82.97,26.0,82.97,0.0
7993,True,179.0,175.653506743,98.13,179.0,98.13,0.0
7996,True,26.0,41.9075517353,161.18,41.9075517353,100.0,15.9075517353
8011,True,28.0,0.0,0.0,28.0,0.0,0.0
8014,True,26.0,7.43826900612,28.61,26.0,28.61,0.0
8015,True,26.0,6.53342015741,25.13,26.0,25.13,0.0
8029,True,26.0,18.0357175797,69.37,26.0,69.37,0.0
8030,True,26.0,35.5977306684,136.91,35.5977306684,100.0,9.5977306684
8042,True,26.0,36.0714351594,138.74,36.0714351594,100.0,10.0714351594
8043,True,26.0,12.0870183729,46.49,26.0,46.49,0.0
8053,True,26.0,12.2951267935,47.29,26.0,47.29,0.0
8070,True,26.0,12.8165898388,49.29,26.0,49.29,0.0
8128,True,179.0,0.0,0.0,179.0,0.0,0.0
8224,True,179.0,147.350368959,82.32,179.0,82.32,0.0
8225,True,179.0,148.512641586,82.97,179.0,82.97,0.0
8226,True,179.0,148.246503651,82.82,179.0,82.82,0.0
8274,True,179.0,99.9822012032,55.86,179.0,55.86,0.0
8275,True,179.0,99.6155220453,55.65,179.0,55.65,0.0
8276,True,179.0,99.6155220453,55.65,179.0,55.65,0.0
8277,True,179.0,97.7957746011,54.63,179.0,54.63,0.0
8278,True,179.0,99.6155220453,55.65,179.0,55.65,0.0
8339,True,179.0,175.555367295,98.08,179.0,98.08,0.0
8353,True,179.0,125.810687307,70.29,179.0,70.29,0.0
8360,True,358.0,14.1154743654,3.94,358.0,3.94,0.0
8361,True,358.0,6.98592071251,1.95,358.0,1.95,0.0
8362,True,358.0,7.05773718268,1.97,358.0,1.97,0.0
8664,True,52.0,12.802775102,24.62,52.0,24.62,0.0
8633,True,52.0,12.7958101653,24.61,52.0,24.61,0.0
8634,True,52.0,12.802775102,24.62,52.0,24.62,0.0
8659,True,52.0,12.802775102,24.62,52.0,24.62,0.0
8660,True,52.0,12.802775102,24.62,52.0,24.62,0.0
8661,True,52.0,7.1371187118,13.73,52.0,13.73,0.0
8662,True,52.0,12.802775102,24.62,52.0,24.62,0.0
8663,True,52.0,12.6598868623,24.35,52.0,24.35,0.0
8671,True,52.0,0.0,0.0,52.0,0.0,0.0
8672,True,52.0,7.1371187118,13.73,52.0,13.73,0.0
8722,True,179.0,116.713041094,65.2,179.0,65.2,0.0
8723,True,179.0,118.133666665,66.0,179.0,66.0,0.0
8724,True,179.0,116.713041094,65.2,179.0,65.2,0.0
8725,True,179.0,116.713041094,65.2,179.0,65.2,0.0
8726,True,179.0,116.713041094,65.2,179.0,65.2,0.0
8727,True,179.0,116.713041094,65.2,179.0,65.2,0.0
8776,True,52.0,0.0,0.0,52.0,0.0,0.0
8990,True,26.0,39.3567486158,151.37,39.3567486158,100.0,13.3567486158
8984,True,26.0,36.9745710398,142.21,36.9745710398,100.0,10.9745710398
8985,True,26.0,36.9745710398,142.21,36.9745710398,100.0,10.9745710398
8989,True,26.0,12.5259095406,48.18,26.0,48.18,0.0
8997,True,26.0,39.0150402284,150.06,39.0150402284,100.0,13.0150402284
8996,True,26.0,41.9476451613,161.34,41.9476451179,100.0,15.9476451179
8998,True,26.0,36.9745710398,142.21,36.9745710398,100.0,10.9745710398
8999,True,26.0,33.9709748976,130.66,33.9709748976,100.0,7.9709748976
9000,True,26.0,33.9709748976,130.66,33.9709748976,100.0,7.9709748976
9327,True,52.0,68.7845738543,132.28,68.7845738543,100.0,16.7845738543
9328,True,52.0,25.4262613551,48.9,52.0,48.9,0.0
9329,True,52.0,68.7845738543,132.28,68.7845738543,100.0,16.7845738543
9330,True,52.0,47.2466390816,90.86,52.0,90.86,0.0
9331,True,52.0,68.7845738543,132.28,68.7845738543,100.0,16.7845738543
9691,True,52.0,358.544820535,689.51,358.544820535,100.0,306.544820535
9692,True,52.0,358.544820535,689.51,358.544820535,100.0,306.544820535
9693,True,52.0,358.544820535,689.51,358.544820535,100.0,306.544820535
