,0 AC,1 AC,10 AC,11 AC,12 AC,13 AC,2 AC,3 AC,4 AC,5 AC,6 AC,7 AC,8 AC,9 AC
104,8000.34306398132,5335.552106234414,11179.229423736571,29382.343103885094,6903.801919168734,8585.9805445222,4564.1594340628635,5703.834835013505,3847.881750900031,41323.814951080094,15408.4183812436,8081.859295042826,11982.376154972115,10931.079078051407
105,8114.851429083277,5440.684095895449,11475.645846120115,30570.963991537577,7121.593748708212,8869.311506078575,4587.069976816702,5727.528558993754,3879.7260070301254,41038.549231330595,18288.424523707195,8334.554859309133,11950.756410695183,11180.863835885875
106,8162.880333870008,5553.421172949084,11629.36695298871,29110.255837986624,6720.5347700637685,8329.74362706329,4549.553394024339,5732.8608415141525,3930.4255364014757,40742.62842527467,19554.96105937537,8504.870954966247,11871.200275170262,11238.929903219547
107,8170.576350925732,5552.181739781714,11664.155762948225,31401.44787640051,7307.621139637899,9085.379721351492,4431.4392350315375,5725.293516605905,3883.957003232145,40480.12584445255,20886.732740722826,8432.643440978172,11773.081123650654,11354.854551026327
108,8115.10996460192,5528.061296980752,11664.847686432548,34829.85451947615,8271.75484257357,10377.32675215141,4411.571909349708,5706.424198161566,3797.593091087227,39632.07783888147,21470.325898357154,8436.082270931176,11711.308504339171,11457.116709382435
109,8000.495384880219,5482.934927557273,11679.12584166255,28282.933153395395,6608.938262313228,8204.103037244788,4331.233409565362,5702.625638856105,3765.3485159893944,38837.30526484256,21857.970375469467,8400.596913052736,11680.776182427586,11580.354812007074
110,7856.150145983997,5313.666508608131,11685.773568941813,25678.98640688381,5941.065799668541,7299.1311186449075,4273.736330538456,5649.149075163396,3603.583986978824,37824.58774362661,22184.440036968645,8122.754295914361,11602.16024890891,11434.646660330065
111,7857.704811220481,5372.164786438125,11847.584090722583,27685.762946408,6439.194791351421,7932.109045784859,4305.626558057733,5667.747565873641,3553.1627400634034,37688.00891006233,20928.39747223168,8348.461062673501,11641.468842148233,11369.230064480325
112,7938.579490225231,5677.1860237678,11850.999502923227,26312.986041281198,6106.9453926350325,7514.518094183225,4461.01086816406,5718.882894796199,3648.5032246542596,39035.87732782608,21005.53003855439,8860.605414864633,11603.5225934307,11788.637982526905
113,8175.107676690217,5790.202544379076,11653.039626613916,25777.65266920955,6040.938290029545,7411.872777112584,4644.377456940478,5697.042196428646,3886.8081294825115,39808.85540714729,21310.647273143426,8684.123007188964,11506.270041556405,11755.588611014788
114,8517.149328284579,5874.357727958938,11622.931800610568,26674.631712785384,6374.981220100298,7912.678621136578,4552.906545535734,5729.759201755906,3961.0689813069944,38614.03277451231,22921.844073456145,8706.110007481793,11491.27198521382,11722.122278335419
115,8502.057717333946,5675.579706409219,11464.943922835157,25081.57726876869,6036.185501977928,7553.014275393153,4331.736076719362,5563.2687002478015,3792.583800842637,36681.58757620928,25733.47503934548,8337.860150058796,11340.581838758117,11816.85300852282
116,8387.249480499355,5473.253131311342,11372.723852283876,24766.10399446534,5987.040953333673,7489.97092053636,4194.045298320295,5326.628637749018,3657.041887718795,35431.55222362278,25420.842111731272,8032.577183692758,11154.856347806453,11591.448281591707
117,8228.386909479681,5614.923564177708,11161.145158385043,22501.439453656905,5370.37753861397,6598.192819609217,4102.303807035993,5162.230389725,3563.6063661258204,36327.548117572805,24342.62539421781,7670.033911557571,10838.919246625086,10879.893871342794
