bus,cluster,foreign,medoid_idx
21576,23,,
21581,13,,
21596,,43775,
21606,25,,
21622,23,,
21624,23,,
2164,18,,
2165,18,,
2166,18,,
21675,42,,
21679,29,,
21686,14,,
21687,14,,
21698,25,,
217,1,,
21707,12,,
21714,45,,
21717,22,,
21719,49,,
2172,18,,
21726,45,,
2173,18,,
21738,63,,
2174,18,,
21740,12,,
21742,31,,
21743,31,,
21745,0,,
21748,0,,
21749,0,,
21755,23,,
21768,11,,
2177,18,,
21772,37,,
21774,42,,
21781,9,,
21786,13,,
21788,0,,
2179,18,,
21793,13,,
21795,13,,
218,1,,
21808,45,,
21810,12,,
21812,49,,
21813,26,,
21815,53,,
21817,13,,
21826,21,,
2184,46,,
21841,18,,
21849,11,,
21853,13,,13
21857,62,,
21858,62,,
21859,55,,
21860,55,,
21861,55,,
21862,55,,
21870,28,,
21871,28,,
21881,45,,
21885,26,,
21893,45,,
21894,2,,
21897,28,,
219,48,,
2190,46,,
21911,13,,
21912,13,,
21913,56,,
21918,0,,
21919,0,,
21920,0,,
21921,0,,
21926,56,,
2193,46,,
21938,42,,
2194,46,,
21952,2,,
21956,53,,
21961,35,,
21962,35,,
21963,42,,
21964,42,,
21966,58,,
2197,46,,
21975,13,,
21978,4,,
21980,4,,
21981,18,,
21984,55,,
21989,53,,
2199,46,,
220,48,,
2200,53,,
22001,28,,
22003,12,,
22004,12,,
22005,42,,
22008,12,,
2201,53,,
22013,12,,
22017,12,,
22020,28,,
22021,28,,
22023,42,,
22027,42,,
22028,42,,
22032,12,,
22034,12,,
22037,42,,
22038,42,,42
22042,42,,
22047,20,,
2205,53,,
22051,60,,
22052,35,,
22055,42,,
22056,42,,
22057,42,,
22059,42,,
2206,53,,
22060,42,,
22063,42,,
22064,42,,
22069,0,,
2207,53,,
22070,0,,
22072,58,,
22081,11,,
22089,55,,
22090,46,,
22100,55,,
22101,55,,
22104,28,,
22107,4,,
22109,21,,
22113,13,,
22114,25,,
22115,28,,
22119,42,,
22120,13,,
22123,13,,
22126,35,,
22128,12,,
22132,63,,
22133,25,,
22134,25,,
22135,42,,
22136,28,,
22138,45,,
22139,45,,
22142,28,,
