name,bus0,bus1,carrier,x,r,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,lifetime,capital_cost,length,num_parallel,geom,v_nom
1080,92,30880,AC,0.6318839944879083,0.18269749127827845,3.1781423511772855e-07,780.0,True,780.0,1554.688804873824,1.0,40.0,0.02536226260474172,0.5506645309398767,3.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d497ac0>,380.0
10273,92,86,AC,5.469149999999999,1.5813027399999997,4.86429988365651e-06,1040.0,True,1040.0,1554.6888048738242,1.0,40.0,0.22358776122322138,4.854529407595659,4.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d456380>,380.0
5469,9206,31761,AC,0.086732823152459,0.030092602849145885,4.2878094947368423e-07,1040.0,True,1040.0,6218.755219495297,1.0,40.0,0.04153211858928946,0.29799166356541024,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71614be97c70>,380.0
14885,9206,32616,AC,84.07531159999999,29.170532799999993,0.0001039004851301939,520.0,True,520.0,6218.755219495297,1.0,40.0,12.550939193110414,90.05259968673478,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613eb120b0>,380.0
26632,9206,35719,AC,48.65196999999999,16.8802156,6.012430069806095e-05,520.0,True,520.0,6218.755219495297,1.0,40.0,7.224377252238339,51.83468286093615,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d05f280>,380.0
29108,9207,32616,AC,0.5553912799999999,0.10371472239999999,4.367706364542937e-05,550.0,True,550.0,6218.755219495297,1.0,40.0,0.2744163918395098,1.968929105749045,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d462ef0>,380.0
10871,921,31334,AC,10.096014799999999,2.91907488,2.244858700831025e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.23087691857178766,5.012791329051545,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d6cc430>,380.0
10874,921,32807,AC,7.833555599999999,2.2649356599999995,1.7418024577562328e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.1629507250359893,3.5379802648790397,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d6c35e0>,380.0
1508,921,34613,AC,0.8764791199999998,0.25341839,1.948863104432133e-07,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.01887228655390974,0.40975440499652854,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x716135e62260>,380.0
5606,9215,32283,AC,5.43435682,1.5712452799999999,1.2083347081717453e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.11162589730092376,2.423617456214806,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d4c5f90>,380.0
5604,9215,9214,AC,29.249808399999996,8.4570748,6.503726872576177e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.5982672110097917,12.989556107893241,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d4c6020>,380.0
5613,9233,31695,AC,0.0697155258,0.020156940399999997,1.550131083795014e-08,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.0016755849919870087,0.03638024091312414,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613c467700>,380.0
14898,9233,33957,AC,7.948064799999999,2.2980393599999998,1.7672640084487535e-06,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.1631307098298491,3.541888088231857,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d4f2200>,380.0
5614,9236,33957,AC,4.2575978999999995,1.2310027799999999,9.466805709141276e-07,520.0,True,520.0,1554.6888048738242,1.0,40.0,0.08759925465302491,1.9019518576064365,2.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613c467400>,380.0
24641,9236,34902,AC,0.204301452,0.0590698524,1.1356610020775624e-08,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.0024120037594838888,0.05236933863278798,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613c467640>,380.0
24642,9237,34413,AC,0.20150297999999994,0.058260779199999994,1.1201074743767312e-08,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.0023727096268048578,0.051516185841272356,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x716137dcad70>,380.0
26436,9237,35584,AC,21.2171252,6.13453076,1.179411635734072e-06,260.0,True,260.0,1554.6888048738242,1.0,40.0,0.21655648123267712,4.701866510036349,1.0,<sqlalchemy.sql.functions._FunctionGenerator object at 0x71613d40e830>,380.0
