name,scn_name,bus,carrier,p_nom,p_max_pu,marginal_cost,efficiency,up_time_before,e_nom_max,control,weight,p_nom_opt
5 others ramp_down,,5,others,100.00000000000001,1.0,-6.555038888039116,1.0,1,,PQ,1.0,100.00000000000001
5 run_of_river ramp_down,,5,run_of_river,282.30782329328616,1.0,-6.561126991963109,1.0,1,,PQ,1.0,282.30782329328616
5 solar ramp_down,,5,solar,1819.02234750981,1.0,-6.550336686819239,1.0,1,,PQ,1.0,1819.02234750981
5 solar_rooftop ramp_down,,5,solar_rooftop,3586.149754802715,1.0,-6.550373379626377,1.0,1,,PQ,1.0,3586.149754802715
5 wind_onshore ramp_down,,5,wind_onshore,3774.746194277604,1.0,-5.259220844827475,1.0,1,,PQ,1.0,3774.746194277604
6 biomass ramp_down,,6,biomass,42.08440336439642,1.0,35.54096843028417,1.0,1,,PQ,1.0,42.08440336439642
6 solar ramp_down,,6,solar,2661.070156118087,1.0,-6.550354386176675,1.0,1,,PQ,1.0,2661.070156118087
6 solar_rooftop ramp_down,,6,solar_rooftop,2144.8358902358386,1.0,-6.550839919361999,1.0,1,,PQ,1.0,2144.8358902358386
6 wind_offshore ramp_down,,6,wind_offshore,636.0,1.0,-3.9937172585660976,1.0,1,,PQ,1.0,636.0
6 wind_onshore ramp_down,,6,wind_onshore,7314.889839945047,1.0,-5.259190901492808,1.0,1,,PQ,1.0,7314.889839945047
7 biomass ramp_down,,7,biomass,68.76598705448791,1.0,35.540246189436765,1.0,1,,PQ,1.0,68.76598705448791
7 others ramp_down,,7,others,71.76609549927517,1.0,-6.5603314763747616,1.0,1,,PQ,1.0,71.76609549927517
7 reservoir ramp_down,,7,reservoir,191.5590395171949,1.0,-6.559892276687523,1.0,1,,PQ,1.0,191.5590395171949
7 run_of_river ramp_down,,7,run_of_river,1890.1184122073557,1.0,-6.559955891000527,1.0,1,,PQ,1.0,1890.1184122073557
7 solar ramp_down,,7,solar,5698.745173426076,1.0,-6.550430537370568,1.0,1,,PQ,1.0,5698.745173426076
7 solar_rooftop ramp_down,,7,solar_rooftop,8990.621565409583,1.0,-6.5501423608360785,1.0,1,,PQ,1.0,8990.621565409583
7 wind_onshore ramp_down,,7,wind_onshore,1139.3557108548728,1.0,-5.260118218701536,1.0,1,,PQ,1.0,1139.3557108548728
8 biomass ramp_down,,8,biomass,40.61700909890941,1.0,35.539621871125554,1.0,1,,PQ,1.0,40.61700909890941
8 run_of_river ramp_down,,8,run_of_river,30.407058016604026,1.0,-6.55909490538436,1.0,1,,PQ,1.0,30.407058016604026
8 solar ramp_down,,8,solar,622.783354303955,1.0,-6.549156877379204,1.0,1,,PQ,1.0,622.783354303955
8 solar_rooftop ramp_down,,8,solar_rooftop,2626.5697968848986,1.0,-6.5500248796843135,1.0,1,,PQ,1.0,2626.5697968848986
8 wind_offshore ramp_down,,8,wind_offshore,11011.0,1.0,-4.000000000455156,1.0,1,,PQ,1.0,11011.0
8 wind_onshore ramp_down,,8,wind_onshore,8013.240261891101,1.0,-5.260256235760243,1.0,1,,PQ,1.0,8013.240261891101
9 biomass ramp_down,,9,biomass,37.93526483228421,1.0,35.543270424718294,1.0,1,,PQ,1.0,37.93526483228421
9 oil ramp_down,,9,oil,93.5,1.0,95.26878123073232,1.0,1,,PQ,1.0,93.5
9 solar ramp_down,,9,solar,2477.5649561781834,1.0,-6.54870059399588,1.0,1,,PQ,1.0,2477.5649561781834
9 solar_rooftop ramp_down,,9,solar_rooftop,1033.1270818150626,1.0,-6.550766592919237,1.0,1,,PQ,1.0,1033.1270818150626
9 wind_offshore ramp_down,,9,wind_offshore,1768.0,1.0,-4.003410084291943,1.0,1,,PQ,1.0,1768.0
9 wind_onshore ramp_down,,9,wind_onshore,5231.686675607907,1.0,-5.259601741744704,1.0,1,,PQ,1.0,5231.686675607907
