name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
305,eGon2035,70812,15,H2_to_power,0.0,True,inf,151.53217961140754,0.0,,0.5,0.0,0.0,0.0,5.628719665582281e-10,,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,,
306,eGon2035,70812,2,H2_to_power,0.0,True,inf,151.53217961140754,0.0,,0.5,0.0,0.0,0.0,6.704505357262202e-10,,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,,
307,eGon2035,70812,3,H2_to_power,0.0,True,inf,151.53217961140754,0.0,,0.5,0.0,0.0,0.0,5.531528079991682e-10,,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,,
308,eGon2035,70812,4,H2_to_power,0.0,True,inf,151.53217961140754,0.0,,0.5,0.0,0.0,0.0,5.001220234270821e-10,,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,,
309,eGon2035,70812,5,H2_to_power,0.0,True,inf,151.53217961140754,0.0,,0.5,0.0,0.0,0.0,6.31250431357783e-10,,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,,
310,eGon2035,70812,6,H2_to_power,0.0,True,inf,151.53217961140754,0.0,,0.5,0.0,0.0,0.0,5.373264678496667e-10,,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,,
311,eGon2035,70812,7,H2_to_power,0.0,True,inf,151.53217961140754,0.0,,0.5,0.0,0.0,0.0,6.164472080539406e-10,,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,,
312,eGon2035,70812,70798,H2_to_CH4,0.0,True,inf,18.71342652994257,0.0,,0.8,0.0,0.0,25.0,2646.997936895932,,0.0,30.0,0.0,0.0,1.0,0.0,,,,,,,
313,eGon2035,70812,8,H2_to_power,0.0,True,26.0,151.53217961140754,0.0,,0.5,0.0,0.0,0.0,4.920780068823483e-10,,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,,
314,eGon2035,70812,9,H2_to_power,0.0,True,21.0,151.53217961140754,0.0,,0.5,0.0,0.0,0.0,5.453974909114641e-10,,0.0,10.0,0.0,0.0,1.0,0.0,,,,,,,
315,eGon2035,70813,70833,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.8399999999999999,0.0,0.0,0.0,2.908950793816905e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
316,eGon2035,70814,70834,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.9087477464618388e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
317,eGon2035,70815,70835,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.607205767633791e-06,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
318,eGon2035,70816,70836,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.9090139618402005e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
319,eGon2035,70817,70837,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.9085887628160918e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
320,eGon2035,70818,70838,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.9092486352925935e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
321,eGon2035,70819,70839,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.909700913765632e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
322,eGon2035,70820,70840,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.9086105576336633e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
323,eGon2035,70821,70841,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.9085371559831863e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
324,eGon2035,70822,70842,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.9934129803467144e-06,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
325,eGon2035,70824,70843,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.908224148780259e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
326,eGon2035,70826,70844,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.908793853674989e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
327,eGon2035,70827,70845,central_heat_store_charger,0.0,True,inf,0.0,0.0,,0.84,0.0,0.0,0.0,2.9088692078994634e-09,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,,
